Token,SentimentScore
aardvark,0
aardvarks,0
abaci,0
aback,0
abacus,0
abacuses,0
abaft,0
abalone,0
abalones,0
abandon,-1
abandoned,-1
abandoning,-1
abandonment,-1
abandonments,-1
abandons,-1
abase,0
abased,0
abasement,0
abasements,0
abases,0
abash,0
abashed,0
abashedly,0
abashes,0
abashing,0
abashment,0
abashments,0
abasing,0
abate,0
abated,0
abatement,0
abatements,0
abates,0
abating,0
abattoir,0
abattoirs,0
abbe,0
abbes,0
abbess,0
abbesses,0
abbey,0
abbeys,0
abbot,0
abbots,0
abbreviate,0
abbreviated,0
abbreviates,0
abbreviating,0
abbreviation,0
abbreviations,0
abdicate,0
abdicated,-1
abdicates,-1
abdicating,-1
abdication,-1
abdications,-1
abdomen,0
abdomens,0
abdominal,0
abdominals,0
abduct,0
abducted,0
abducting,0
abduction,0
abductions,0
abductor,0
abductors,0
abducts,0
abeam,0
abed,0
aberrant,-1
aberration,-1
aberrational,-1
aberrations,-1
abet,0
abets,0
abetted,0
abetter,0
abetters,0
abetting,-1
abettor,0
abettors,0
abeyance,0
abeyances,0
abhor,0
abhorred,0
abhorrence,0
abhorrences,0
abhorrent,0
abhorrently,0
abhorring,0
abhors,0
abidance,0
abidances,0
abide,0
abided,0
abides,0
abiding,0
abidingly,0
abilities,0
ability,0
abject,0
abjection,0
abjections,0
abjectly,0
abjectness,0
abjectnesses,0
abjuration,0
abjurations,0
abjuratory,0
abjure,0
abjured,0
abjurer,0
abjurers,0
abjures,0
abjuring,0
ablate,0
ablated,0
ablates,0
ablating,0
ablation,0
ablations,0
ablative,0
ablatives,0
ablaze,0
able,1
abler,0
ablest,0
abloom,0
ablution,0
ablutions,0
ably,0
abnegate,0
abnegated,0
abnegates,0
abnegating,0
abnegation,0
abnegations,0
abnormal,-1
abnormalities,-1
abnormality,-1
abnormally,-1
aboard,0
abode,0
abodes,0
abolish,-1
abolished,-1
abolishes,-1
abolishing,-1
abolishment,0
abolition,0
abolitionism,0
abolitionisms,0
abolitionist,0
abolitionists,0
abolitions,0
abominable,0
abominably,0
abominate,0
abominated,0
abominates,0
abominating,0
abomination,0
abominations,0
aboriginal,0
aboriginals,0
aborigine,0
aborigines,0
aborning,0
abort,0
aborted,0
aborting,0
abortion,0
abortionist,0
abortionists,0
abortions,0
abortive,0
abortively,0
aborts,0
abound,0
abounded,0
abounding,0
abounds,0
about,0
abouts,0
above,0
aboveboard,0
aboveground,0
abovementioned,0
aboves,0
abracadabra,0
abracadabras,0
abrade,0
abraded,0
abrades,0
abrading,0
abrasion,0
abrasions,0
abrasive,0
abrasively,0
abrasiveness,0
abrasivenesses,0
abrasives,0
abreast,0
