Actual,Forecast,Mean_Lag
14.593,14.108,--
15.627,14.277,14.108
13.911,15.92,14.277
14.545,13.654,15.92
15.969,14.461,13.654
15.672,15.928,14.461
13.875,15.698,15.928
14.476,13.751,15.698
14.385,14.644,13.751
11.564,13.942,14.644
10.59,10.991,13.942
10.544,10.462,10.991
10.927,10.466,10.462
11.391,11.17,10.466
13.275,11.519,11.17
14.349,13.848,11.519
14.12,14.65,13.848
13.409,14.32,14.65
14.298,13.358,14.32
14.765,14.321,13.358
15.708,14.644,14.321
15.2,15.956,14.644
13.408,15.114,15.956
15.586,13.249,15.114
17.078,15.404,13.249
17.849,17.331,15.404
16.646,18.12,17.331
13.683,16.396,18.12
14.138,12.912,16.396
15.103,14.08,12.912
15.432,15.186,14.08
16.2,15.777,15.186
14.647,16.479,15.777
16.013,14.652,16.479
15.542,16.459,14.652
16.069,15.474,16.459
16.791,16.423,15.474
16.528,16.787,16.423
17.977,16.464,16.787
17.925,18.031,16.464
19.962,17.767,18.031
18.626,20.167,17.767
20.212,18.422,20.167
22.592,20.641,18.422
22.759,22.493,20.641
26.088,22.637,22.493
22.489,26.502,22.637
20.658,21.456,26.502
23.23,20.062,21.456
23.636,23.688,20.062
27.501,23.584,23.688
26.786,27.916,23.584
25.127,26.643,27.916
28.061,24.31,26.643
29.513,28.367,24.31
32.628,29.103,28.367
31.644,33.128,29.103
29.402,30.731,33.128
27.886,28.761,30.731
28.701,27.741,28.761
31.603,28.738,27.741
30.196,31.838,28.738
31.079,29.806,31.838
35.007,31.187,29.806
34.663,34.988,31.187
33.972,34.357,34.988
36.311,33.78,34.357
35.932,36.64,33.78
30.552,35.386,36.64
28.632,29.706,35.386
29.09,28.167,29.706
30.759,29.225,28.167
26.387,31.09,29.225
28.182,26.3,31.09
30.226,28.882,26.3
32.775,30.388,28.882
32.508,32.885,30.388
34.283,32.284,32.885
37.056,34.012,32.284
34.074,37.204,34.012
37.005,33.441,37.204
39.361,37.372,33.441
43.833,39.27,37.372
43.003,44.007,39.27
43.445,42.19,44.007
44.66,43.677,42.19
48.553,43.576,43.677
50.982,47.014,43.576
57.06,50.457,47.014
60.848,56.267,50.457
60.597,60.593,56.267
51.783,59.033,60.593
44.424,48.824,59.033
32.988,40.966,48.824
24.608,29.99,40.966
18.896,22.079,29.99
20.497,16.722,22.079
20.368,19.535,16.722
21.902,20.305,19.535
23.592,22.016,20.305
26.9,23.862,22.016
31.943,27.495,23.862
30.008,33.371,27.495
33.655,29.566,33.371
31.338,33.868,29.566
33.61,30.779,33.868
35.29,33.796,30.779
34.257,35.235,33.796
35.021,34.148,35.235
33.943,35.593,34.148
36.267,33.753,35.593
39.014,36.684,33.753
34.951,39.64,36.684
34.42,34.677,39.64
34.733,34.206,34.677
35.352,34.864,34.206
35.662,35.379,34.864
37.74,35.719,35.379
38.834,37.635,35.719
41.478,39.115,37.635
43.639,42.202,39.115
46.741,44.59,42.202
51.399,46.709,44.59
55.003,50.43,46.709
51.15,53.653,50.43
50.636,50.045,53.653
51.897,50.035,50.045
48.747,52.474,50.035
49.795,48.445,52.474
48.313,50.138,48.445
48.76,47.462,50.138
47.473,48.522,47.462
48.58,46.899,48.522
52.261,48.589,46.899
54.826,52.464,48.589
52.107,53.988,52.464
48.244,50.225,53.988
41.639,46.628,50.225
44.892,39.668,46.628
49.303,44.985,39.668
48.856,49.506,44.985
48.226,48.52,49.506
47.161,48.263,48.52
47.355,46.515,48.263
48.757,47.324,46.515
49.821,48.107,47.324
46.699,49.352,48.107
44.111,45.147,49.352
44.227,43.395,45.147
44.277,44.121,43.395
46.343,44.369,44.121
47.667,47.287,44.369
47.784,48.166,47.287
46.68,47.461,48.166
46.045,45.918,47.461
47.187,45.724,45.918
45.951,47.12,45.724
46.233,45.605,47.12
45.537,46.419,45.605
45.569,44.479,46.419
46.235,45.262,44.479
47.125,46.095,45.262
44.955,47.952,46.095
42.79,44.742,47.952
40.885,42.077,44.742
36.821,40.965,42.077
33.521,35.804,40.965
26.385,32.951,35.804
20.345,25.496,32.951
24.686,19.885,25.496
23.683,25.831,19.885
25.198,23.652,25.831
27.036,25.839,23.652
25.868,27.214,25.839
23.762,26.163,27.214
19.541,23.583,26.163
20.052,18.955,23.583
20.372,19.902,18.955
18.599,20.218,19.902
15.985,18.407,20.218
12.918,15.686,18.407
13.559,12.812,15.686
16.049,13.844,12.812
17.399,16.645,13.844
19.512,17.702,16.645
20.084,19.95,17.702
18.722,20.42,19.95
19.058,18.518,20.42
19.309,18.908,18.518
20.486,19.036,18.908
18.483,20.625,19.036
21.97,18.127,20.625
22.403,22.635,18.127
22.487,22.395,22.635
21.152,22.493,22.395
21.421,20.664,22.493
20.625,21.402,20.664
18.991,20.678,21.402
19.848,19.203,20.678
21.088,20.209,19.203
22.786,21.59,20.209
23.318,23.42,21.59
25.361,23.772,23.42
25.978,26.045,23.772
27.758,26.314,26.045
26.176,28.078,26.314
26.451,26.059,28.078
28.816,26.03,26.059
30.693,28.81,26.03
29.641,30.866,28.81
29.558,29.709,30.866
28.82,29.8,29.709
31.283,29.021,29.8
32.057,31.703,29.021
25.633,32.235,31.703
22.694,24.502,32.235
23.508,22.196,24.502
25.249,23.537,22.196
26.018,25.562,23.537
27.912,26.438,25.562
27.936,28.289,26.438
25.169,27.835,28.289
24.999,24.716,27.835
23.058,25.29,24.716
24.493,22.704,25.29
23.213,24.85,22.704
24.519,23.034,24.85
