Actual,Forecast,Mean_Lag
14.593,14.019,--
15.627,14.143,14.019
13.911,15.728,14.143
14.545,13.759,15.728
15.969,14.614,13.759
15.672,16.013,14.614
13.875,15.431,16.013
14.476,13.683,15.431
14.385,14.591,13.683
11.564,13.548,14.591
10.59,10.653,13.548
10.544,10.351,10.653
10.927,10.448,10.351
11.391,10.965,10.448
13.275,11.491,10.965
14.349,13.926,11.491
14.12,14.496,13.926
13.409,14.259,14.496
14.298,13.301,14.259
14.765,14.089,13.301
15.708,14.337,14.089
15.2,15.328,14.337
13.408,14.807,15.328
15.586,13.079,14.807
17.078,15.118,13.079
17.849,16.791,15.118
16.646,17.881,16.791
13.683,15.883,17.881
14.138,12.921,15.883
15.103,14.198,12.921
15.432,15.155,14.198
16.2,16.068,15.155
14.647,16.62,16.068
16.013,14.741,16.62
15.542,16.682,14.741
16.069,15.353,16.682
16.791,16.455,15.353
16.528,16.881,16.455
17.977,16.476,16.881
17.925,17.838,16.476
19.962,17.677,17.838
18.626,19.853,17.677
20.212,18.357,19.853
22.592,20.369,18.357
22.759,22.251,20.369
26.088,22.586,22.251
22.489,26.485,22.586
20.658,21.736,26.485
23.23,19.983,21.736
23.636,23.47,19.983
27.501,23.739,23.47
26.786,28.085,23.739
25.127,26.319,28.085
28.061,24.375,26.319
29.513,28.371,24.375
32.628,29.579,28.371
31.644,32.799,29.579
29.402,30.508,32.799
27.886,29.084,30.508
28.701,28.216,29.084
31.603,29.006,28.216
30.196,31.473,29.006
31.079,30.372,31.473
35.007,31.559,30.372
34.663,35.387,31.559
33.972,34.154,35.387
36.311,33.333,34.154
35.932,36.571,33.333
30.552,35.04,36.571
28.632,29.81,35.04
29.09,28.429,29.81
30.759,29.502,28.429
26.387,31.007,29.502
28.182,26.014,31.007
30.226,29.126,26.014
32.775,30.56,29.126
32.508,33.217,30.56
34.283,32.53,33.217
37.056,34.395,32.53
34.074,37.16,34.395
37.005,33.116,37.16
39.361,37.276,33.116
43.833,39.13,37.276
43.003,43.065,39.13
43.445,41.56,43.065
44.66,42.715,41.56
48.553,43.877,42.715
50.982,47.254,43.877
57.06,50.323,47.254
60.848,56.247,50.323
60.597,60.164,56.247
51.783,59.299,60.164
44.424,48.937,59.299
32.988,40.268,48.937
24.608,29.284,40.268
18.896,22.119,29.284
20.497,16.598,22.119
20.368,19.457,16.598
21.902,20.429,19.457
23.592,22.351,20.429
26.9,23.996,22.351
31.943,28.088,23.996
30.008,33.5,28.088
33.655,29.736,33.5
31.338,34.353,29.736
33.61,30.906,34.353
35.29,33.737,30.906
34.257,35.361,33.737
35.021,34.046,35.361
33.943,35.395,34.046
36.267,33.619,35.395
39.014,37.077,33.619
34.951,39.526,37.077
34.42,33.697,39.526
34.733,33.773,33.697
35.352,35.196,33.773
35.662,35.484,35.196
37.74,36.087,35.484
38.834,38.042,36.087
41.478,39.902,38.042
43.639,42.28,39.902
46.741,44.248,42.28
51.399,46.527,44.248
55.003,49.941,46.527
51.15,53.77,49.941
50.636,50.08,53.77
51.897,49.479,50.08
48.747,51.718,49.479
49.795,48.601,51.718
48.313,50.594,48.601
48.76,47.94,50.594
47.473,48.175,47.94
48.58,46.277,48.175
52.261,48.538,46.277
54.826,52.784,48.538
52.107,53.849,52.784
48.244,50.579,53.849
41.639,47.145,50.579
44.892,39.544,47.145
49.303,44.901,39.544
48.856,49.867,44.901
48.226,48.452,49.867
47.161,48.459,48.452
47.355,47.532,48.459
48.757,48.01,47.532
49.821,48.174,48.01
46.699,49.536,48.174
44.111,45.428,49.536
44.227,43.367,45.428
44.277,44.265,43.367
46.343,44.272,44.265
47.667,46.274,44.272
47.784,48.057,46.274
46.68,47.783,48.057
46.045,46.364,47.783
47.187,46.042,46.364
45.951,47.466,46.042
46.233,45.764,47.466
45.537,46.571,45.764
45.569,44.633,46.571
46.235,45.44,44.633
47.125,46.307,45.44
44.955,47.295,46.307
42.79,44.464,47.295
40.885,41.866,44.464
36.821,40.255,41.866
33.521,35.426,40.255
26.385,32.279,35.426
20.345,24.908,32.279
24.686,19.467,24.908
23.683,25.711,19.467
25.198,23.876,25.711
27.036,25.762,23.876
25.868,27.414,25.762
23.762,26.11,27.414
19.541,23.37,26.11
20.052,18.707,23.37
20.372,19.654,18.707
18.599,20.232,19.654
15.985,18.214,20.232
12.918,15.276,18.214
13.559,12.497,15.276
16.049,13.675,12.497
17.399,16.435,13.675
19.512,17.603,16.435
20.084,20.048,17.603
18.722,20.426,20.048
19.058,18.78,20.426
19.309,19.191,18.78
20.486,19.265,19.191
18.483,21.007,19.265
21.97,18.368,21.007
22.403,22.679,18.368
22.487,22.539,22.679
21.152,22.961,22.539
21.421,20.624,22.961
20.625,21.248,20.624
18.991,20.345,21.248
19.848,18.964,20.345
21.088,20.082,18.964
22.786,21.534,20.082
23.318,23.297,21.534
25.361,23.866,23.297
25.978,26.05,23.866
27.758,26.828,26.05
26.176,28.444,26.828
26.451,26.44,28.444
28.816,25.574,26.44
30.693,28.601,25.574
